title_current,config,pct_first,pct_last,pct_delta
"Judges, Magistrate Judges, and Magistrates",agentic_confirmed,1.84,15.69,13.85
Foresters,agentic_confirmed,0.00,0.00,0.00
Equal Opportunity Representatives and Officers,agentic_confirmed,1.44,1.94,0.51
"Airline Pilots, Copilots, and Flight Engineers",agentic_confirmed,0.88,0.88,0.00
Range Managers,agentic_confirmed,0.00,0.00,0.00
General and Operations Managers,agentic_confirmed,6.33,8.65,2.31
Manufactured Building and Mobile Home Installers,agentic_confirmed,0.00,0.00,0.00
Respiratory Therapists,agentic_confirmed,0.00,0.00,0.00
Airfield Operations Specialists,agentic_confirmed,6.93,10.58,3.65
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",agentic_confirmed,7.83,8.04,0.20
Wind Energy Development Managers,agentic_confirmed,15.27,15.27,0.00
Forest Fire Inspectors and Prevention Specialists,agentic_confirmed,0.00,0.00,0.00
Athletic Trainers,agentic_confirmed,15.14,15.76,0.63
Aircraft Cargo Handling Supervisors,agentic_confirmed,0.00,0.00,0.00
Energy Auditors,agentic_confirmed,0.00,7.54,7.54
Transit and Railroad Police,agentic_confirmed,0.00,0.00,0.00
Firefighters,agentic_confirmed,0.00,0.00,0.00
Solar Thermal Installers and Technicians,agentic_confirmed,0.00,0.00,0.00
Music Therapists,agentic_confirmed,13.18,17.22,4.04
Administrative Services Managers,agentic_confirmed,0.00,1.85,1.85
"Morticians, Undertakers, and Funeral Arrangers",agentic_confirmed,0.00,0.00,0.00
Geodetic Surveyors,agentic_confirmed,0.00,3.55,3.55
"Geoscientists, Except Hydrologists and Geographers",agentic_confirmed,6.50,7.10,0.60
"Opticians, Dispensing",agentic_confirmed,0.00,0.00,0.00
Media Technical Directors/Managers,agentic_confirmed,0.00,7.50,7.50
Neurodiagnostic Technologists,agentic_confirmed,4.40,4.40,0.00
Orthoptists,agentic_confirmed,3.34,11.23,7.89
Aircraft Mechanics and Service Technicians,agentic_confirmed,0.00,0.00,0.00
Acupuncturists,agentic_confirmed,5.05,5.05,0.00
"Special Education Teachers, Preschool",agentic_confirmed,12.28,12.28,0.00
"Securities, Commodities, and Financial Services Sales Agents",agentic_confirmed,45.67,52.76,7.10
Air Traffic Controllers,agentic_confirmed,1.70,1.83,0.13
Recreation Workers,agentic_confirmed,0.00,0.00,0.00
Recycling Coordinators,agentic_confirmed,0.00,7.95,7.95
Biofuels/Biodiesel Technology and Product Development Managers,agentic_confirmed,0.00,0.00,0.00
Traffic Technicians,agentic_confirmed,0.00,0.00,0.00
Nuclear Technicians,agentic_confirmed,0.00,0.00,0.00
Radiation Therapists,agentic_confirmed,0.00,4.26,4.26
Financial Examiners,agentic_confirmed,2.30,2.30,0.00
