title_current,employment,median_wage,major,minor,broad,job_zone,outlook,pct_all_ceiling,tier_all_ceiling,workers_all_ceiling,pct_human_conversation,tier_human_conversation,workers_human_conversation,pct_agentic_confirmed,tier_agentic_confirmed,workers_agentic_confirmed,pct_all_confirmed,tier_all_confirmed,workers_all_confirmed,pct_agentic_ceiling,tier_agentic_ceiling,workers_agentic_ceiling
Brownfield Redevelopment Specialists and Site Managers,22567.00,136550.00,Management Occupations,Other Management Occupations,Miscellaneous Managers,4.00,4.00,35.42,restructuring,7993.65,15.93,low,3595.02,0.00,low,0.00,15.93,low,3595.02,22.01,restructuring,4967.81
Budget Analysts,47170.00,87930.00,Business and Financial Operations Occupations,Financial Specialists,Budget Analysts,4.00,4.00,63.33,high,29873.85,53.93,moderate,25440.97,7.97,low,3760.54,53.93,moderate,25440.97,46.46,moderate,21917.11
"Bus Drivers, School",292209.77,40769.77,Transportation and Material Moving Occupations,Motor Vehicle Operators,Passenger Vehicle Drivers,2.00,3.00,25.01,restructuring,73074.04,14.64,low,42782.28,0.00,low,0.00,14.64,low,42782.28,13.35,low,39020.09
"Bus Drivers, Transit and Intercity",148980.00,57440.00,Transportation and Material Moving Occupations,Motor Vehicle Operators,Passenger Vehicle Drivers,2.00,3.00,34.09,restructuring,50793.19,22.47,restructuring,33472.45,0.00,low,0.00,22.47,restructuring,33472.45,24.26,restructuring,36140.57
Bus and Truck Mechanics and Diesel Engine Specialists,287230.00,60640.00,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Bus and Truck Mechanics and Diesel Engine Specialists,3.00,4.00,34.68,restructuring,99613.33,28.48,restructuring,81808.44,1.95,low,5588.46,28.48,restructuring,81808.44,9.72,low,27926.34
Business Continuity Planners,217277.00,81270.00,Business and Financial Operations Occupations,Business Operations Specialists,Miscellaneous Business Operations Specialists,4.00,4.00,59.83,moderate,129998.50,48.15,moderate,104622.25,31.46,restructuring,68346.77,56.03,moderate,121741.31,44.84,moderate,97418.52
Business Intelligence Analysts,122459.00,112590.00,Computer and Mathematical Occupations,Mathematical Science Occupations,Data Scientists,4.00,5.00,95.60,high,117065.06,64.12,high,78519.41,85.24,high,104381.30,92.34,high,113079.83,95.60,high,117065.06
"Business Teachers, Postsecondary",81780.00,97270.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Business Teachers, Postsecondary",5.00,4.00,81.60,high,66728.83,71.74,high,58671.79,53.79,moderate,43991.97,80.38,high,65731.58,59.08,moderate,48314.75
Butchers and Meat Cutters,140040.00,38960.00,Production Occupations,Food Processing Workers,"Butchers and Other Meat, Poultry, and Fish Processing Workers",2.00,2.00,44.81,moderate,62749.98,40.59,moderate,56840.50,0.00,low,0.00,40.59,moderate,56840.50,8.91,low,12477.87
"Buyers and Purchasing Agents, Farm Products",162300.00,75650.00,Business and Financial Operations Occupations,Business Operations Specialists,Buyers and Purchasing Agents,4.00,4.00,53.87,moderate,87427.26,29.58,restructuring,48004.02,25.33,restructuring,41107.45,42.88,moderate,69597.62,50.35,moderate,81721.77
Cabinetmakers and Bench Carpenters,79540.00,46020.00,Production Occupations,Woodworkers,Cabinetmakers and Bench Carpenters,2.00,3.00,23.96,restructuring,19054.86,23.19,restructuring,18449.25,0.00,low,0.00,23.19,restructuring,18449.25,4.76,low,3783.88
Calibration Technologists and Technicians,15320.00,65040.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters",3.00,3.00,36.30,restructuring,5560.88,33.22,restructuring,5089.53,0.00,low,0.00,33.22,restructuring,5089.53,13.57,low,2079.07
"Camera Operators, Television, Video, and Film",24460.00,68810.00,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,"Television, Video, and Film Camera Operators and Editors",3.00,2.00,47.13,moderate,11527.24,27.63,restructuring,6759.06,20.06,restructuring,4907.73,27.63,restructuring,6759.06,29.80,restructuring,7289.04
Camera and Photographic Equipment Repairers,2010.00,49300.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Precision Instrument and Equipment Repairers,3.00,2.00,34.18,restructuring,687.11,29.58,restructuring,594.66,16.95,low,340.63,34.18,restructuring,687.11,18.23,low,366.51
"Captains, Mates, and Pilots of Water Vessels",35390.00,85540.00,Transportation and Material Moving Occupations,Water Transportation Workers,Ship and Boat Captains and Operators,3.00,2.00,28.57,restructuring,10111.57,20.14,restructuring,7127.29,0.00,low,0.00,20.14,restructuring,7127.29,22.70,restructuring,8033.73
Cardiologists,24358.57,249103.60,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Physicians,5.00,2.00,26.81,restructuring,6529.40,21.34,restructuring,5198.84,0.00,low,0.00,21.34,restructuring,5198.84,13.82,low,3367.56
Cardiovascular Technologists and Technicians,61180.00,67260.00,Healthcare Practitioners and Technical Occupations,Health Technologists and Technicians,Diagnostic Related Technologists and Technicians,3.00,5.00,33.00,restructuring,20189.17,22.13,restructuring,13538.43,4.69,low,2870.85,27.72,restructuring,16956.11,20.36,restructuring,12457.49
"Career/Technical Education Teachers, Middle School",14200.00,63620.00,Educational Instruction and Library Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Elementary and Middle School Teachers,4.00,4.00,63.27,high,8984.42,52.33,moderate,7430.43,33.83,restructuring,4804.48,58.59,moderate,8320.02,43.14,moderate,6126.26
"Career/Technical Education Teachers, Postsecondary",111150.00,61490.00,Educational Instruction and Library Occupations,Postsecondary Teachers,Miscellaneous Postsecondary Teachers,3.00,4.00,42.84,moderate,47612.85,32.38,restructuring,35995.17,33.75,restructuring,37518.14,32.38,restructuring,35995.17,25.35,restructuring,28180.45
"Career/Technical Education Teachers, Secondary School",104450.00,63910.00,Educational Instruction and Library Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Secondary School Teachers,4.00,4.00,57.09,moderate,59629.21,48.20,moderate,50350.00,30.48,restructuring,31834.87,53.33,moderate,55704.07,34.70,restructuring,36245.97
Cargo and Freight Agents,30322.00,49900.00,Office and Administrative Support Occupations,"Material Recording, Scheduling, Dispatching, and Distributing Workers",Cargo and Freight Agents,2.00,2.00,66.58,high,20189.02,27.53,restructuring,8347.58,29.13,restructuring,8832.51,51.94,moderate,15748.57,58.82,moderate,17835.73
Carpenters,697740.00,59310.00,Construction and Extraction Occupations,Construction Trades Workers,Carpenters,2.00,4.00,16.40,low,114433.36,10.71,low,74719.03,4.02,low,28073.99,10.71,low,74719.03,9.98,low,69626.12
Carpet Installers,14980.00,49850.00,Construction and Extraction Occupations,Construction Trades Workers,"Carpet, Floor, and Tile Installers and Finishers",2.00,2.00,15.76,low,2360.15,15.76,low,2360.15,0.00,low,0.00,15.76,low,2360.15,11.37,low,1703.77
Cartographers and Photogrammetrists,12790.00,78380.00,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists",4.00,4.00,60.56,high,7745.75,39.70,restructuring,5077.52,6.69,low,855.43,39.70,restructuring,5077.52,52.19,moderate,6675.19
Cashiers,3148030.00,31190.00,Sales and Related Occupations,Retail Sales Workers,Cashiers,2.00,2.00,68.24,high,2148107.83,42.33,moderate,1332540.83,18.39,low,579023.55,46.94,moderate,1477540.91,65.88,high,2073992.67
Cement Masons and Concrete Finishers,205230.00,54660.00,Construction and Extraction Occupations,Construction Trades Workers,"Cement Masons, Concrete Finishers, and Terrazzo Workers",1.00,4.00,16.12,low,33093.05,12.55,low,25764.79,9.55,low,19598.68,16.12,low,33093.05,9.55,low,19598.68
Chefs and Head Cooks,182320.00,60990.00,Food Preparation and Serving Related Occupations,Supervisors of Food Preparation and Serving Workers,Supervisors of Food Preparation and Serving Workers,3.00,3.00,48.66,moderate,88707.80,31.59,restructuring,57587.72,14.64,low,26695.68,44.75,moderate,81591.99,29.27,restructuring,53358.74
Chemical Engineers,20330.00,121860.00,Architecture and Engineering Occupations,Engineers,Chemical Engineers,4.00,5.00,57.92,moderate,11776.05,45.78,moderate,9307.81,0.00,low,0.00,45.78,moderate,9307.81,35.38,restructuring,7192.76
Chemical Equipment Operators and Tenders,127410.00,57090.00,Production Occupations,Other Production Occupations,"Chemical Processing Machine Setters, Operators, and Tenders",2.00,3.00,28.15,restructuring,35861.16,14.86,low,18933.70,7.94,low,10112.75,22.80,restructuring,29046.45,13.29,low,16927.46
Chemical Plant and System Operators,17840.00,73540.00,Production Occupations,Plant and System Operators,Miscellaneous Plant and System Operators,2.00,4.00,19.60,low,3496.18,17.22,low,3071.86,0.00,low,0.00,17.22,low,3071.86,9.23,low,1646.82
Chemical Technicians,55640.00,57790.00,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Chemical Technicians,3.00,3.00,56.76,moderate,31583.28,43.39,moderate,24144.66,26.22,restructuring,14587.95,52.62,moderate,29280.34,45.08,moderate,25084.48
"Chemistry Teachers, Postsecondary",20390.00,86220.00,Educational Instruction and Library Occupations,Postsecondary Teachers,"Physical Sciences Teachers, Postsecondary",5.00,4.00,72.80,high,14844.54,56.42,moderate,11503.70,44.76,moderate,9127.24,65.95,high,13447.17,53.84,moderate,10978.07
Chemists,83250.00,84150.00,"Life, Physical, and Social Science Occupations",Physical Scientists,Chemists and Materials Scientists,4.00,4.00,66.33,high,55221.54,52.71,moderate,43877.84,30.88,restructuring,25705.08,59.71,moderate,49708.47,40.87,moderate,34027.59
Chief Executives,172469.00,206420.00,Management Occupations,Top Executives,Chief Executives,5.00,5.00,61.10,high,105386.12,39.22,restructuring,67637.74,35.47,restructuring,61177.13,50.67,moderate,87390.14,54.66,moderate,94265.62
Chief Sustainability Officers,39381.00,206420.00,Management Occupations,Top Executives,Chief Executives,5.00,5.00,34.20,restructuring,13468.72,32.17,restructuring,12669.32,0.00,low,0.00,32.17,restructuring,12669.32,15.16,low,5968.68
"Child, Family, and School Social Workers",382960.00,58570.00,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers,4.00,3.00,47.14,moderate,180508.51,39.38,restructuring,150816.66,1.31,low,5006.69,40.05,moderate,153373.08,27.19,restructuring,104113.75
Childcare Workers,354051.00,32050.00,Personal Care and Service Occupations,Other Personal Care and Service Workers,Childcare Workers,2.00,2.00,40.53,moderate,143487.04,34.10,restructuring,120730.48,15.05,low,53270.87,38.68,restructuring,136962.49,23.72,restructuring,83963.69
Chiropractors,37630.00,79000.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Chiropractors,5.00,4.00,38.87,restructuring,14626.50,20.11,restructuring,7568.14,20.94,restructuring,7881.37,36.39,restructuring,13694.86,28.75,restructuring,10817.70
Choreographers,3430.00,55600.00,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers and Choreographers,3.00,2.00,52.52,moderate,1801.53,49.37,moderate,1693.33,13.44,low,460.89,52.52,moderate,1801.53,15.98,low,548.05
Civil Engineering Technologists and Technicians,62130.00,64200.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters",3.00,3.00,48.00,moderate,29819.79,32.67,restructuring,20300.84,33.09,restructuring,20558.04,32.67,restructuring,20300.84,38.89,restructuring,24164.11
Civil Engineers,118470.00,99590.00,Architecture and Engineering Occupations,Engineers,Civil Engineers,4.00,5.00,40.21,moderate,47638.68,30.64,restructuring,36299.91,7.11,low,8422.66,33.59,restructuring,39798.94,37.41,restructuring,44313.82
"Claims Adjusters, Examiners, and Investigators",305020.00,76790.00,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Appraisers, Examiners, and Investigators",4.00,4.00,43.66,moderate,133172.91,33.75,restructuring,102956.89,48.91,moderate,149185.55,33.75,restructuring,102956.89,25.51,restructuring,77811.95
Cleaners of Vehicles and Equipment,373960.00,35270.00,Transportation and Material Moving Occupations,Material Moving Workers,Laborers and Material Movers,2.00,2.00,8.56,low,32022.73,4.91,low,18379.62,0.00,low,0.00,4.91,low,18379.62,3.65,low,13643.11
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",13890.00,41460.00,Production Occupations,Other Production Occupations,Miscellaneous Production Workers,2.00,3.00,27.28,restructuring,3789.36,11.82,low,1641.61,0.00,low,0.00,11.82,low,1641.61,15.46,low,2147.75
Clergy,58080.00,60820.00,Community and Social Service Occupations,Religious Workers,Clergy,5.00,1.00,73.75,high,42832.66,62.64,high,36379.42,9.73,low,5650.05,72.16,high,41912.64,48.70,moderate,28283.51
Climate Change Policy Analysts,21539.00,80060.00,"Life, Physical, and Social Science Occupations",Physical Scientists,Environmental Scientists and Geoscientists,5.00,4.00,46.66,moderate,10051.05,43.62,moderate,9394.47,16.19,low,3486.71,43.62,moderate,9394.47,29.81,restructuring,6421.48
Clinical Data Managers,104082.00,112590.00,Computer and Mathematical Occupations,Mathematical Science Occupations,Data Scientists,4.00,5.00,73.34,high,76337.99,51.77,moderate,53885.35,47.91,moderate,49862.97,58.62,moderate,61014.53,69.77,high,72619.73
Clinical Neuropsychologists,35580.00,117580.00,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Psychologists,5.00,4.00,20.03,restructuring,7127.19,18.17,low,6464.70,5.05,low,1797.67,18.17,low,6464.70,10.21,low,3631.86
Clinical Nurse Specialists,784864.00,93600.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Registered Nurses,5.00,5.00,49.90,moderate,391637.96,30.64,restructuring,240469.34,22.30,restructuring,175004.58,47.25,moderate,370861.56,36.23,restructuring,284379.61
Clinical Research Coordinators,51654.00,161180.00,Management Occupations,Other Management Occupations,Natural Sciences Managers,4.00,5.00,60.10,high,31042.76,33.47,restructuring,17287.37,27.27,restructuring,14088.60,46.49,moderate,24015.08,50.00,moderate,25827.88
Clinical and Counseling Psychologists,72190.00,95830.00,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Psychologists,5.00,5.00,40.47,moderate,29212.17,28.86,restructuring,20831.56,39.26,restructuring,28339.57,28.86,restructuring,20831.56,23.56,restructuring,17004.64
Coaches and Scouts,250940.00,45920.00,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers",4.00,2.00,63.35,high,158965.27,45.83,moderate,114999.05,28.43,restructuring,71354.69,55.07,moderate,138204.47,45.75,moderate,114796.61
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",159500.00,47590.00,Production Occupations,Other Production Occupations,Painting Workers,2.00,3.00,18.36,low,29288.65,10.54,low,16818.64,2.27,low,3615.05,14.37,low,22926.83,7.82,low,12470.01
"Coil Winders, Tapers, and Finishers",12170.00,47260.00,Production Occupations,Assemblers and Fabricators,"Electrical, Electronics, and Electromechanical Assemblers",2.00,2.00,28.10,restructuring,3420.26,16.19,low,1970.88,0.00,low,0.00,16.19,low,1970.88,17.66,low,2149.68
"Coin, Vending, and Amusement Machine Servicers and Repairers",28260.00,47350.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers",2.00,2.00,39.86,restructuring,11264.05,9.65,low,2726.19,0.00,low,0.00,9.65,low,2726.19,30.49,restructuring,8615.10
Commercial Divers,3430.00,61130.00,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Miscellaneous Installation, Maintenance, and Repair Workers",3.00,2.00,24.28,restructuring,832.65,23.55,restructuring,807.61,0.00,low,0.00,23.55,restructuring,807.61,2.10,low,72.11
