broad,broad_avg_pct,broad_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
Human Resources Workers,44.42,145.00,Business and Financial Operations Occupations,51.70,5.00,-140.00,-7.28
"Industrial Engineers, Including Health and Safety",43.98,149.00,Architecture and Engineering Occupations,40.05,10.00,-139.00,3.93
"Industrial Machinery Installation, Repair, and Maintenance Workers",19.15,332.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-315.00,-5.41
Industrial Production Managers,13.29,378.00,Management Occupations,36.26,11.00,-367.00,-22.96
Industrial Truck and Tractor Operators,5.43,426.00,Transportation and Material Moving Occupations,16.67,20.00,-406.00,-11.24
"Inspectors, Testers, Sorters, Samplers, and Weighers",24.87,290.00,Production Occupations,18.95,18.00,-272.00,5.91
Instructional Coordinators,49.99,119.00,Educational Instruction and Library Occupations,61.44,3.00,-116.00,-11.45
Insulation Workers,21.53,310.00,Construction and Extraction Occupations,14.38,22.00,-288.00,7.15
Insurance Claims and Policy Processing Clerks,36.27,204.00,Office and Administrative Support Occupations,52.87,4.00,-200.00,-16.60
Insurance Sales Agents,64.14,58.00,Sales and Related Occupations,62.92,2.00,-56.00,1.22
"Interviewers, Except Eligibility and Loan",68.81,46.00,Office and Administrative Support Occupations,52.87,4.00,-42.00,15.94
Jewelers and Precious Stone and Metal Workers,24.60,292.00,Production Occupations,18.95,18.00,-274.00,5.65
"Judges, Magistrates, and Other Judicial Workers",35.92,205.00,Legal Occupations,45.76,8.00,-197.00,-9.83
Laborers and Material Movers,10.66,399.00,Transportation and Material Moving Occupations,16.67,20.00,-379.00,-6.01
Laundry and Dry-Cleaning Workers,13.23,379.00,Production Occupations,18.95,18.00,-361.00,-5.73
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",74.08,24.00,Educational Instruction and Library Occupations,61.44,3.00,-21.00,12.64
Lawyers and Judicial Law Clerks,52.39,106.00,Legal Occupations,45.76,8.00,-98.00,6.63
Legislators,47.74,123.00,Management Occupations,36.26,11.00,-112.00,11.48
Librarians and Media Collections Specialists,40.40,167.00,Educational Instruction and Library Occupations,61.44,3.00,-164.00,-21.04
"Library Assistants, Clerical",41.44,161.00,Office and Administrative Support Occupations,52.87,4.00,-157.00,-11.43
Library Technicians,58.86,73.00,Educational Instruction and Library Occupations,61.44,3.00,-70.00,-2.58
Licensed Practical and Licensed Vocational Nurses,28.83,257.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-242.00,-0.86
"Life Sciences Teachers, Postsecondary",74.63,22.00,Educational Instruction and Library Occupations,61.44,3.00,-19.00,13.19
Line Installers and Repairers,29.92,246.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-229.00,5.36
Loan Interviewers and Clerks,59.14,72.00,Office and Administrative Support Occupations,52.87,4.00,-68.00,6.27
Locomotive Engineers and Operators,18.43,341.00,Transportation and Material Moving Occupations,16.67,20.00,-321.00,1.76
Lodging Managers,56.23,82.00,Management Occupations,36.26,11.00,-71.00,19.97
Logging Workers,10.41,401.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-380.00,-5.48
Logisticians and Project Management Specialists,51.07,113.00,Business and Financial Operations Occupations,51.70,5.00,-108.00,-0.63
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",21.09,313.00,Production Occupations,18.95,18.00,-295.00,2.14
Machinists,31.89,232.00,Production Occupations,18.95,18.00,-214.00,12.94
"Mail Clerks and Mail Machine Operators, Except Postal Service",22.21,306.00,Office and Administrative Support Occupations,52.87,4.00,-302.00,-30.66
"Maintenance and Repair Workers, General",20.80,318.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-301.00,-3.76
Management Analysts,69.24,44.00,Business and Financial Operations Occupations,51.70,5.00,-39.00,17.54
Marine Engineers and Naval Architects,29.69,250.00,Architecture and Engineering Occupations,40.05,10.00,-240.00,-10.36
Market Research Analysts and Marketing Specialists,89.58,1.00,Business and Financial Operations Occupations,51.70,5.00,4.00,37.88
Marketing and Sales Managers,65.10,55.00,Management Occupations,36.26,11.00,-44.00,28.84
Massage Therapists,20.80,317.00,Healthcare Support Occupations,25.68,16.00,-301.00,-4.88
Materials Engineers,25.35,283.00,Architecture and Engineering Occupations,40.05,10.00,-273.00,-14.70
"Math and Computer Science Teachers, Postsecondary",73.63,26.00,Educational Instruction and Library Occupations,61.44,3.00,-23.00,12.19
Mathematicians,71.19,36.00,Computer and Mathematical Occupations,65.79,1.00,-35.00,5.41
Mechanical Engineers,44.18,148.00,Architecture and Engineering Occupations,40.05,10.00,-138.00,4.13
Medical Records Specialists,38.67,181.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-166.00,8.97
Medical Scientists,37.30,195.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-186.00,-5.88
Medical and Health Services Managers,47.27,126.00,Management Occupations,36.26,11.00,-115.00,11.02
"Meeting, Convention, and Event Planners",60.62,64.00,Business and Financial Operations Occupations,51.70,5.00,-59.00,8.93
"Metal Furnace Operators, Tenders, Pourers, and Casters",17.52,348.00,Production Occupations,18.95,18.00,-330.00,-1.44
"Meter Readers, Utilities",42.77,157.00,Office and Administrative Support Occupations,52.87,4.00,-153.00,-10.10
